x,y,layer1,layer2,voltage1,voltage2,current
438.771,-85.6998,TOP_LAYER,MID_LAYER_1,0.000695409,0.000693141,0.0287073
438.771,-85.6998,MID_LAYER_1,MID_LAYER_2,0.000693141,0.000672338,0.0438197
438.771,-85.6998,MID_LAYER_2,MID_LAYER_3,0.000672338,0.000667154,0.051679
438.771,-85.6998,MID_LAYER_3,MID_LAYER_4,0.000667154,0.000639588,0.0580651
438.771,-85.6998,MID_LAYER_4,BOTTOM_LAYER,0.000639588,0.000634494,0.0644926
441.29,1646.58,TOP_LAYER,MID_LAYER_1,0.000934935,0.000931885,0.0386116
441.29,1646.58,MID_LAYER_1,MID_LAYER_2,0.000931885,0.000906553,0.0533599
441.29,1646.58,MID_LAYER_2,MID_LAYER_3,0.000906553,0.000901099,0.0543639
441.29,1646.58,MID_LAYER_3,MID_LAYER_4,0.000901099,0.000874609,0.0558002
441.29,1646.58,MID_LAYER_4,BOTTOM_LAYER,0.000874609,0.000869457,0.0652198
461.292,626.011,MID_LAYER_1,MID_LAYER_2,0.000943274,0.000961164,-0.0142396
467.351,879.106,MID_LAYER_1,MID_LAYER_2,0.00102871,0.00103315,-0.00352923
470.304,1392.89,MID_LAYER_1,MID_LAYER_2,0.00105955,0.00106893,-0.00746673
471.288,125.169,TOP_LAYER,MID_LAYER_1,0.000754964,0.000753537,0.00682632
478.141,-85.6998,TOP_LAYER,MID_LAYER_1,0.000699134,0.000696842,0.0290172
478.141,-85.6998,MID_LAYER_1,MID_LAYER_2,0.000696842,0.000675814,0.0442944
478.141,-85.6998,MID_LAYER_2,MID_LAYER_3,0.000675814,0.000670598,0.0519946
478.141,-85.6998,MID_LAYER_3,MID_LAYER_4,0.000670598,0.00064279,0.0585751
478.141,-85.6998,MID_LAYER_4,BOTTOM_LAYER,0.00064279,0.000637593,0.0657915
480.66,1646.58,TOP_LAYER,MID_LAYER_1,0.000949354,0.000946523,0.0358488
480.66,1646.58,MID_LAYER_1,MID_LAYER_2,0.000946523,0.0009235,0.0484957
480.66,1646.58,MID_LAYER_2,MID_LAYER_3,0.0009235,0.000918649,0.0483615
480.66,1646.58,MID_LAYER_3,MID_LAYER_4,0.000918649,0.000895779,0.0481728
480.66,1646.58,MID_LAYER_4,BOTTOM_LAYER,0.000895779,0.000891667,0.0520586
481.721,823.004,TOP_LAYER,MID_LAYER_1,3.29028,3.2904,-0.570157
483.099,159.618,MID_LAYER_1,MID_LAYER_2,3.76865,3.76865,8.13014e-12
483.099,159.618,MID_LAYER_2,MID_LAYER_3,3.76865,3.76865,6.69116e-12
483.099,159.618,MID_LAYER_3,MID_LAYER_4,3.76865,3.76865,4.24181e-12
499.831,327.925,TOP_LAYER,MID_LAYER_1,0.000847596,0.000849332,-0.0083068
517.511,-85.6998,TOP_LAYER,MID_LAYER_1,0.000705572,0.000703385,0.0276943
517.511,-85.6998,MID_LAYER_1,MID_LAYER_2,0.000703385,0.000683325,0.0422545
517.511,-85.6998,MID_LAYER_2,MID_LAYER_3,0.000683325,0.000678452,0.0485739
517.511,-85.6998,MID_LAYER_3,MID_LAYER_4,0.000678452,0.000652883,0.0538586
517.511,-85.6998,MID_LAYER_4,BOTTOM_LAYER,0.000652883,0.000648228,0.0589394
514.595,109.618,MID_LAYER_1,MID_LAYER_2,3.2958,3.2958,-4.24181e-12
514.595,109.618,MID_LAYER_2,MID_LAYER_3,3.2958,3.2958,-5.01837e-12
514.595,109.618,MID_LAYER_3,MID_LAYER_4,3.2958,3.2958,-6.36272e-12
520.031,1646.58,TOP_LAYER,MID_LAYER_1,0.000963728,0.000961114,0.0330898
520.031,1646.58,MID_LAYER_1,MID_LAYER_2,0.000961114,0.000940256,0.0439357
520.031,1646.58,MID_LAYER_2,MID_LAYER_3,0.000940256,0.000935954,0.0428863
520.031,1646.58,MID_LAYER_3,MID_LAYER_4,0.000935954,0.000916091,0.0418405
520.031,1646.58,MID_LAYER_4,BOTTOM_LAYER,0.000916091,0.000912784,0.0418628
524.437,478.161,TOP_LAYER,MID_LAYER_1,5.00086,5.00085,0.0011801
548.06,109.618,MID_LAYER_4,BOTTOM_LAYER,3.2958,3.2958,-6.37332e-12
548.06,159.618,MID_LAYER_4,BOTTOM_LAYER,3.76865,3.76865,-0
548.06,209.618,MID_LAYER_4,BOTTOM_LAYER,5.00082,5.00082,-4.24888e-12
548.06,1459.62,MID_LAYER_4,BOTTOM_LAYER,3.20715,3.20715,-2.12444e-12
548.06,1509.62,MID_LAYER_4,BOTTOM_LAYER,4.985,4.98551,-2.41819
556.881,-85.6998,TOP_LAYER,MID_LAYER_1,0.000714336,0.000712342,0.0252508
556.881,-85.6998,MID_LAYER_1,MID_LAYER_2,0.000712342,0.000694078,0.0384723
556.881,-85.6998,MID_LAYER_2,MID_LAYER_3,0.000694078,0.000689768,0.0429543
556.881,-85.6998,MID_LAYER_3,MID_LAYER_4,0.000689768,0.00066768,0.0465282
556.881,-85.6998,MID_LAYER_4,BOTTOM_LAYER,0.00066768,0.000663776,0.0494224
559.401,1646.58,TOP_LAYER,MID_LAYER_1,0.000977492,0.000975099,0.0302873
559.401,1646.58,MID_LAYER_1,MID_LAYER_2,0.000975099,0.000956257,0.0396915
559.401,1646.58,MID_LAYER_2,MID_LAYER_3,0.000956257,0.000952367,0.0387743
559.401,1646.58,MID_LAYER_3,MID_LAYER_4,0.000952367,0.000934689,0.0372378
559.401,1646.58,MID_LAYER_4,BOTTOM_LAYER,0.000934689,0.00093191,0.0351747
596.251,-85.6998,TOP_LAYER,MID_LAYER_1,0.000724842,0.000723083,0.0222714
596.251,-85.6998,MID_LAYER_1,MID_LAYER_2,0.000723083,0.000707023,0.0338281
596.251,-85.6998,MID_LAYER_2,MID_LAYER_3,0.000707023,0.000703361,0.0365036
596.251,-85.6998,MID_LAYER_3,MID_LAYER_4,0.000703361,0.000685109,0.0384473
596.251,-85.6998,MID_LAYER_4,BOTTOM_LAYER,0.000685109,0.000681991,0.0394797
592.351,68.0822,TOP_LAYER,MID_LAYER_1,0.000768879,0.000768436,0.00211922
598.771,1646.58,TOP_LAYER,MID_LAYER_1,0.00099031,0.000988139,0.0274895
598.771,1646.58,MID_LAYER_1,MID_LAYER_2,0.000988139,0.00097101,0.0360804
598.771,1646.58,MID_LAYER_2,MID_LAYER_3,0.00097101,0.000967494,0.0350493
598.771,1646.58,MID_LAYER_3,MID_LAYER_4,0.000967494,0.000951577,0.0335282
598.771,1646.58,MID_LAYER_4,BOTTOM_LAYER,0.000951577,0.000949175,0.0304135
601.209,705.878,TOP_LAYER,MID_LAYER_1,0.00100084,0.000993858,0.0334145
606.13,99.5783,MID_LAYER_4,BOTTOM_LAYER,0.000640021,0.000630923,0.043526
613.02,1459.62,MID_LAYER_1,MID_LAYER_2,3.20715,3.20715,-0
613.02,1459.62,MID_LAYER_2,MID_LAYER_3,3.20715,3.20715,-1.00367e-11
613.02,1459.62,MID_LAYER_3,MID_LAYER_4,3.20715,3.20715,-1.20185e-11
613.02,1509.62,MID_LAYER_1,MID_LAYER_2,4.96514,4.96514,7.06969e-13
613.02,1509.62,MID_LAYER_2,MID_LAYER_3,4.96514,4.96578,-2.41819
613.02,1509.62,MID_LAYER_3,MID_LAYER_4,4.96578,4.96882,-2.41819
624.941,254.017,MID_LAYER_4,BOTTOM_LAYER,0.000758292,0.000752557,0.027433
626.209,823.004,TOP_LAYER,MID_LAYER_1,3.20862,3.2085,0.570157
