Comment,Designator,Footprint
"Multilayer Ceramic Capacitor","C116","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C117","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C118","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C119","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C120","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C121","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C122","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C123","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C124","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C125","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C126","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C127","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C128","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C129","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C130","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C131","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C132","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C133","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C134","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C135","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C136","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C137","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C138","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C139","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C140","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C141","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C142","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C143","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C144","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C145","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C146","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C147","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C148","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C149","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C150","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C151","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C152","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C153","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C154","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C155","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C156","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C157","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C158","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C159","CAPACITOR_0402"
