x;y;layer1;layer2;voltage1;voltage2;current
3235.31;347.371;TOP_LAYER;MID_LAYER_1;0.000253196;0.000253185;0.000141405
3235.31;347.371;MID_LAYER_1;MID_LAYER_2;0.000253185;0.000253127;0.000122656
3235.31;347.371;MID_LAYER_2;MID_LAYER_3;0.000253127;0.000253113;0.000132295
3235.31;347.371;MID_LAYER_3;MID_LAYER_4;0.000253113;0.000253023;0.000191051
3235.31;347.371;MID_LAYER_4;BOTTOM_LAYER;0.000253023;0.000253008;0.000182841
3235.31;386.741;TOP_LAYER;MID_LAYER_1;0.000253505;0.000253493;0.000143544
3235.31;386.741;MID_LAYER_1;MID_LAYER_2;0.000253493;0.000253418;0.000158716
3235.31;386.741;MID_LAYER_2;MID_LAYER_3;0.000253418;0.000253401;0.000166158
3235.31;386.741;MID_LAYER_3;MID_LAYER_4;0.000253401;0.000253298;0.000217673
3235.31;386.741;MID_LAYER_4;BOTTOM_LAYER;0.000253298;0.000253282;0.000204187
3235.31;426.111;TOP_LAYER;MID_LAYER_1;0.000253825;0.000253811;0.00017821
3235.31;426.111;MID_LAYER_1;MID_LAYER_2;0.000253811;0.000253717;0.000198554
3235.31;426.111;MID_LAYER_2;MID_LAYER_3;0.000253717;0.000253697;0.000204012
3235.31;426.111;MID_LAYER_3;MID_LAYER_4;0.000253697;0.000253578;0.000249699
3235.31;426.111;MID_LAYER_4;BOTTOM_LAYER;0.000253578;0.00025356;0.000225468
3235.31;465.481;TOP_LAYER;MID_LAYER_1;0.000254162;0.000254142;0.000246859
3235.31;465.481;MID_LAYER_1;MID_LAYER_2;0.000254142;0.000254023;0.000252251
3235.31;465.481;MID_LAYER_2;MID_LAYER_3;0.000254023;0.000253997;0.000251896
3235.31;465.481;MID_LAYER_3;MID_LAYER_4;0.000253997;0.00025386;0.000288806
3235.31;465.481;MID_LAYER_4;BOTTOM_LAYER;0.00025386;0.000253841;0.000247328
3235.31;504.851;TOP_LAYER;MID_LAYER_1;0.000254504;0.000254477;0.000328545
3235.31;504.851;MID_LAYER_1;MID_LAYER_2;0.000254477;0.000254329;0.000313865
3235.31;504.851;MID_LAYER_2;MID_LAYER_3;0.000254329;0.000254298;0.000305586
3235.31;504.851;MID_LAYER_3;MID_LAYER_4;0.000254298;0.00025414;0.000332654
3235.31;504.851;MID_LAYER_4;BOTTOM_LAYER;0.00025414;0.000254119;0.000269125
3235.31;544.222;TOP_LAYER;MID_LAYER_1;0.000254839;0.000254806;0.000420613
3235.31;544.222;MID_LAYER_1;MID_LAYER_2;0.000254806;0.000254626;0.000379031
3235.31;544.222;MID_LAYER_2;MID_LAYER_3;0.000254626;0.00025459;0.000361817
3235.31;544.222;MID_LAYER_3;MID_LAYER_4;0.00025459;0.000254411;0.000377206
3235.31;544.222;MID_LAYER_4;BOTTOM_LAYER;0.000254411;0.000254388;0.00029209
3235.31;583.592;TOP_LAYER;MID_LAYER_1;0.000255152;0.000255113;0.000500103
3235.31;583.592;MID_LAYER_1;MID_LAYER_2;0.000255113;0.000254905;0.000436975
3235.31;583.592;MID_LAYER_2;MID_LAYER_3;0.000254905;0.000254864;0.000414837
3235.31;583.592;MID_LAYER_3;MID_LAYER_4;0.000254864;0.000254667;0.000415848
3235.31;583.592;MID_LAYER_4;BOTTOM_LAYER;0.000254667;0.000254641;0.000320504
3235.31;622.962;TOP_LAYER;MID_LAYER_1;0.000255426;0.000255385;0.000527991
3235.31;622.962;MID_LAYER_1;MID_LAYER_2;0.000255385;0.000255161;0.000470966
3235.31;622.962;MID_LAYER_2;MID_LAYER_3;0.000255161;0.000255116;0.000449402
3235.31;622.962;MID_LAYER_3;MID_LAYER_4;0.000255116;0.000254905;0.000445328
3235.31;622.962;MID_LAYER_4;BOTTOM_LAYER;0.000254905;0.000254877;0.000343503
3235.31;662.332;TOP_LAYER;MID_LAYER_1;0.000255666;0.000255625;0.000519813
3235.31;662.332;MID_LAYER_1;MID_LAYER_2;0.000255625;0.000255394;0.000486085
3235.31;662.332;MID_LAYER_2;MID_LAYER_3;0.000255394;0.000255347;0.000468071
3235.31;662.332;MID_LAYER_3;MID_LAYER_4;0.000255347;0.000255125;0.000468261
3235.31;662.332;MID_LAYER_4;BOTTOM_LAYER;0.000255125;0.000255097;0.000358089
3235.31;701.702;TOP_LAYER;MID_LAYER_1;0.000255886;0.000255846;0.00050614
3235.31;701.702;MID_LAYER_1;MID_LAYER_2;0.000255846;0.00025561;0.000498606
3235.31;701.702;MID_LAYER_2;MID_LAYER_3;0.00025561;0.000255561;0.000483326
3235.31;701.702;MID_LAYER_3;MID_LAYER_4;0.000255561;0.000255328;0.000490317
3235.31;701.702;MID_LAYER_4;BOTTOM_LAYER;0.000255328;0.000255299;0.00036853
3235.31;741.072;TOP_LAYER;MID_LAYER_1;0.000256099;0.000256059;0.000507561
3235.31;741.072;MID_LAYER_1;MID_LAYER_2;0.000256059;0.000255811;0.000522641
3235.31;741.072;MID_LAYER_2;MID_LAYER_3;0.000255811;0.000255761;0.000502319
3235.31;741.072;MID_LAYER_3;MID_LAYER_4;0.000255761;0.000255516;0.000516313
3235.31;741.072;MID_LAYER_4;BOTTOM_LAYER;0.000255516;0.000255485;0.000386301
3235.31;780.442;TOP_LAYER;MID_LAYER_1;0.000256305;0.000256264;0.000517166
3235.31;780.442;MID_LAYER_1;MID_LAYER_2;0.000256264;0.000255993;0.000571496
3235.31;780.442;MID_LAYER_2;MID_LAYER_3;0.000255993;0.000255938;0.000547583
