refdes;pin;voltage;current
R15;2;3.19812;-6.803e-05
R17;2;3.12017;-6.63719e-05
Q3;2;3.11988;-0.3315889
Q4;2;0.000272863;0.047994
Q5;2;0.000351176;0.141797
Q6;2;0.000328955;0.141798
R45;2;3.18947;-0.000318953
U15;10;3.19613;-0.0105415
U15;31;3.18947;-0.00987545
U15;61;3.17351;-0.00828012
U15;80;3.198;-0.0107289
U15;100;3.19645;-0.010574
D3;4;3.18562;-0.02895839
Q10;2;0.000195556;0.0096528
Q11;2;0.000210867;0.00965275
Q12;2;0.000166971;0.00965289
U9;1;3.16787;-0.0001
U9;2;0.000210635;0.0001
U11;4;3.14578;-0.016774
U11;6;3.14571;-0.0167626
U11;18;3.14392;-0.0164634
U11;3;0.000282554;0.016772163
U11;5;0.000329429;0.016764357
U11;21;0.000247816;0.016777968
R36;2;3.14481;-0.000314407
D2;4;3.1458600000000003;-0.02859647
Q7;2;0.000250367;0.00953217
Q8;2;0.000243294;0.00953219
Q9;2;0.000253842;0.00953216
J1;4;3.1873;-0.03
J1;6;0.000260052;0.03
R38;2;3.18726;-0.000318667
U12;8;0.00023601400000000002;0.000687539
U12;15;0.000211558;0.0006875733
R39;2;3.18726;-0.000318667
R40;2;3.18726;-0.000318667
R41;2;3.18726;-0.000318667
U12;16;3.17374;-0.0001
U13;2;3.19814;-0.0001
U13;11;0.000235594;0.0002
U13;19;3.14481;-0.0001
U14;12;3.1981;-0.015
U14;5;0.000215796;0.00750063
U14;13;0.000227049;0.00749937
R52;2;3.13079;-0.000313084
R53;2;3.13079;-0.000313084
U16;16;3.13079;-0.0096896
U16;3;3.13907;-0.0103105
U16;13;0.000238793;0.0050782111
U16;2;0.000234646;0.0050785216
U16;1;0.00023573;0.0050784415
U17;7;3.13868;-0.0001
R57;2;3.13828;-0.00950918
D4;1;0.000250196;0.0095092
R56;2;3.13837;-0.000313842
R54;2;3.13836;-0.000313865
R55;2;3.13836;-0.000313844
R58;2;3.13889;-0.000313918
R59;2;3.13887;-0.000313916
U18;5;3.13211;-0.0002
U18;2;0.000228325;0.0002
R60;2;3.13079;-0.000313107
R61;2;3.13079;-0.000313107
U19;8;3.13078;-0.0004
U19;4;0.000231661;0.0004
U3;1;3.76185;-0.585244
U21;10;4.97808;-0.457835
R65;2;3.7982;-4.05615e-06
R66;1;7.64107e-05;3.5401e-06
U22;10;4.99183;-0.00133578
R68;2;4.99898;-5.33847e-06
R70;1;0.000117729;4.65927e-06
U1;1;3.71518;-0.25
U1;6;3.69018;0.25
FB1;1;3.68889;-0.125
FB1;2;3.68327;0.125
FB2;1;3.68901;-0.125
FB2;2;3.68339;0.125
U2;1;3.2887;-0.570189
U2;6;3.20887;0.570189
U10;1;3.162;-0.0790109
U10;6;3.15094;0.0790109
