Description,Designator,Quantity,Case,Mouser_Part_Number,Tolerance,Value,Manufacturer Part Number,Manufacturer_Part_Number
"Capacitor - 33pF [0402] (Ceramic)","C131","1","0402","80-C0402C330J9RAUTO","10%","33pF","","C0402C330J9RACAUTO"
"Capacitor - 33pF [0402] (Ceramic)","C130","1","0402","80-C0402C330J9RAUTO","10%","33pF","","C0402C330J9RACAUTO"
"Capacitor - 33pF [0402] (Ceramic)","C129","1","0402","80-C0402C330J9RAUTO","10%","33pF","","C0402C330J9RACAUTO"
"Capacitor - 33pF [0402] (Ceramic)","C128","1","0402","80-C0402C330J9RAUTO","10%","33pF","","C0402C330J9RACAUTO"
"Capacitor - 33pF [0402] (Ceramic)","C127","1","0402","80-C0402C330J9RAUTO","10%","33pF","","C0402C330J9RACAUTO"
"Capacitor - 33pF [0402] (Ceramic)","C126","1","0402","80-C0402C330J9RAUTO","10%","33pF","","C0402C330J9RACAUTO"
"Capacitor - 33pF [0402] (Ceramic)","C125","1","0402","80-C0402C330J9RAUTO","10%","33pF","","C0402C330J9RACAUTO"
"Capacitor - 33pF [0402] (Ceramic)","C124","1","0402","80-C0402C330J9RAUTO","10%","33pF","","C0402C330J9RACAUTO"
"Capacitor - 33pF [0402] (Ceramic)","C123","1","0402","80-C0402C330J9RAUTO","10%","33pF","","C0402C330J9RACAUTO"
"Capacitor - 33pF [0402] (Ceramic)","C122","1","0402","80-C0402C330J9RAUTO","10%","33pF","","C0402C330J9RACAUTO"
"Capacitor - 33pF [0402] (Ceramic)","C121","1","0402","80-C0402C330J9RAUTO","10%","33pF","","C0402C330J9RACAUTO"
"Capacitor - 33pF [0402] (Ceramic)","C120","1","0402","80-C0402C330J9RAUTO","10%","33pF","","C0402C330J9RACAUTO"
"Capacitor - 33pF [0402] (Ceramic)","C119","1","0402","80-C0402C330J9RAUTO","10%","33pF","","C0402C330J9RACAUTO"
"Capacitor - 33pF [0402] (Ceramic)","C118","1","0402","80-C0402C330J9RAUTO","10%","33pF","","C0402C330J9RACAUTO"
"Capacitor - 33pF [0402] (Ceramic)","C117","1","0402","80-C0402C330J9RAUTO","10%","33pF","","C0402C330J9RACAUTO"
"Capacitor - 33pF [0402] (Ceramic)","C116","1","0402","80-C0402C330J9RAUTO","10%","33pF","","C0402C330J9RACAUTO"
"Capacitor - 33pF [0402] (Ceramic)","C115","1","0402","80-C0402C330J9RAUTO","10%","33pF","","C0402C330J9RACAUTO"
"Capacitor - 33pF [0402] (Ceramic)","C114","1","0402","80-C0402C330J9RAUTO","10%","33pF","","C0402C330J9RACAUTO"
"Capacitor - 33pF [0402] (Ceramic)","C113","1","0402","80-C0402C330J9RAUTO","10%","33pF","","C0402C330J9RACAUTO"
"Capacitor - 33pF [0402] (Ceramic)","C112","1","0402","80-C0402C330J9RAUTO","10%","33pF","","C0402C330J9RACAUTO"
"Capacitor - 33pF [0402] (Ceramic)","C111","1","0402","80-C0402C330J9RAUTO","10%","33pF","","C0402C330J9RACAUTO"
"Capacitor - 33pF [0402] (Ceramic)","C110","1","0402","80-C0402C330J9RAUTO","10%","33pF","","C0402C330J9RACAUTO"
"Capacitor - 33pF [0402] (Ceramic)","C109","1","0402","80-C0402C330J9RAUTO","10%","33pF","","C0402C330J9RACAUTO"
"Capacitor - 33pF [0402] (Ceramic)","C108","1","0402","80-C0402C330J9RAUTO","10%","33pF","","C0402C330J9RACAUTO"
"Capacitor - 33pF [0402] (Ceramic)","C107","1","0402","80-C0402C330J9RAUTO","10%","33pF","","C0402C330J9RACAUTO"
"Capacitor - 33pF [0402] (Ceramic)","C106","1","0402","80-C0402C330J9RAUTO","10%","33pF","","C0402C330J9RACAUTO"
"Capacitor - 33pF [0402] (Ceramic)","C105","1","0402","80-C0402C330J9RAUTO","10%","33pF","","C0402C330J9RACAUTO"
"Capacitor - 33pF [0402] (Ceramic)","C104","1","0402","80-C0402C330J9RAUTO","10%","33pF","","C0402C330J9RACAUTO"
"Capacitor - 33pF [0402] (Ceramic)","C103","1","0402","80-C0402C330J9RAUTO","10%","33pF","","C0402C330J9RACAUTO"
"Capacitor - 100nF [0402-6V3] (Ceramic)","C102","1","0402","581-04026D104KAT4A","%10","100nF","","04026D104KAT4A"
"Capacitor - 100nF [0402-6V3] (Ceramic)","C101","1","0402","581-04026D104KAT4A","%10","100nF","","04026D104KAT4A"
"Capacitor - 100nF [0402-6V3] (Ceramic)","C100","1","0402","581-04026D104KAT4A","%10","100nF","","04026D104KAT4A"
"Capacitor - 13pF [0402] (Ceramic)","C99","1","0402","80-CBR04C130F5GAC","1%","13pF","","CBR04C130F5GAC"
"Capacitor - 13pF [0402] (Ceramic)","C98","1","0402","80-CBR04C130F5GAC","1%","13pF","","CBR04C130F5GAC"
"Capacitor - 100nF [0402-6V3] (Ceramic)","C97","1","0402","581-04026D104KAT4A","%10","100nF","","04026D104KAT4A"
"Capacitor - 100nF [0402-6V3] (Ceramic)","C96","1","0402","581-04026D104KAT4A","%10","100nF","","04026D104KAT4A"
"Capacitor - 100nF [0402-6V3] (Ceramic)","C95","1","0402","581-04026D104KAT4A","%10","100nF","","04026D104KAT4A"
"Capacitor - 100nF [0402-6V3] (Ceramic)","C94","1","0402","581-04026D104KAT4A","%10","100nF","","04026D104KAT4A"
"Capacitor - 100nF [0402-6V3] (Ceramic)","C93","1","0402","581-04026D104KAT4A","%10","100nF","","04026D104KAT4A"
"Capacitor - 100nF [0402-6V3] (Ceramic)","C92","1","0402","581-04026D104KAT4A","%10","100nF","","04026D104KAT4A"
"Capacitor - 33pF [0402] (Ceramic)","C91","1","0402","80-C0402C330J9RAUTO","10%","33pF","","C0402C330J9RACAUTO"
"Capacitor - 100nF [0402-6V3] (Ceramic)","C90","1","0402","581-04026D104KAT4A","%10","100nF","","04026D104KAT4A"
"Capacitor - 100nF [0402-6V3] (Ceramic)","C89","1","0402","581-04026D104KAT4A","%10","100nF","","04026D104KAT4A"
"Capacitor - 33pF [0402] (Ceramic)","C88","1","0402","80-C0402C330J9RAUTO","10%","33pF","","C0402C330J9RACAUTO"
"Capacitor - 100nF [0402-6V3] (Ceramic)","C87","1","0402","581-04026D104KAT4A","%10","100nF","","04026D104KAT4A"
"Capacitor - 100nF [0402-6V3] (Ceramic)","C86","1","0402","581-04026D104KAT4A","%10","100nF","","04026D104KAT4A"
"Capacitor - 100nF [0402-6V3] (Ceramic)","C85","1","0402","581-04026D104KAT4A","%10","100nF","","04026D104KAT4A"
"Capacitor - 13pF [0402] (Ceramic)","C84","1","0402","80-CBR04C130F5GAC","1%","13pF","","CBR04C130F5GAC"
"Capacitor - 13pF [0402] (Ceramic)","C83","1","0402","80-CBR04C130F5GAC","1%","13pF","","CBR04C130F5GAC"
"Capacitor - 33pF [0402] (Ceramic)","C82","1","0402","80-C0402C330J9RAUTO","10%","33pF","","C0402C330J9RACAUTO"
"Capacitor - 33pF [0402] (Ceramic)","C81","1","0402","80-C0402C330J9RAUTO","10%","33pF","","C0402C330J9RACAUTO"
"Capacitor - 33pF [0402] (Ceramic)","C80","1","0402","80-C0402C330J9RAUTO","10%","33pF","","C0402C330J9RACAUTO"
